# BUSCO version is: 6.0.0 
# The lineage dataset is: ascomycota_odb12 (Creation date: 2025-07-01, number of genomes: 105, number of BUSCOs: 2826)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
555at4890	Complete	SPBC4B4.09.1:86-1897	730.7	508	https://www.orthodb.org/?query=555at4890	pre-mRNA-processing factor 39
2803at4890	Missing
3665at4890	Missing
5127at4890	Missing
6183at4890	Complete	SPCC188.13c.1:320-4342	740.2	1169	https://www.orthodb.org/?query=6183at4890	dicer
7669at4890	Complete	SPBC646.14c.1:262-1593	281.8	367	https://www.orthodb.org/?query=7669at4890	origin recognition complex subunit
8989at4890	Complete	SPBC13G1.12.1:44-643	225.2	178	https://www.orthodb.org/?query=8989at4890	Vacuolar protein
9087at4890	Complete	SPAC12G12.05c.1:145-534	145.2	114	https://www.orthodb.org/?query=9087at4890	transcription initiation factor
9465at4890	Missing
9477at4890	Missing
9735at4890	Complete	SPAC140.03.1:187-1326	203.9	290	https://www.orthodb.org/?query=9735at4890	Argonaute siRNA chaperone complex subunit Arb1
10383at4890	Duplicated	SPAC23G3.09.1:299-1174	50.4	87	https://www.orthodb.org/?query=10383at4890	transcription initiation factor TFIID component TAF4
10383at4890	Duplicated	SPAC23G3.10c.1:1992-2867	50.4	87	https://www.orthodb.org/?query=10383at4890	transcription initiation factor TFIID component TAF4
10778at4890	Complete	SPAC9G1.13c.1:181-1416	348.7	399	https://www.orthodb.org/?query=10778at4890	SWR1-complex protein
11174at4890	Fragmented	SPBC21D10.10.1:666-914	90.4	82	https://www.orthodb.org/?query=11174at4890	bromodomain protein
11335at4890	Fragmented	SPCC126.15c.1:234-785	181.0	163	https://www.orthodb.org/?query=11335at4890	Signal recognition particle
12616at4890	Missing
13187at4890	Complete	SPCC594.05c.1:383-1231	170.0	223	https://www.orthodb.org/?query=13187at4890	Zinc finger PHD-type
14054at4890	Missing
30568at4890	Complete	SPAC29A4.16.1:1101-2240	589.7	344	https://www.orthodb.org/?query=30568at4890	kinase
30884at4890	Complete	SPBC3E7.16c.1:383-2068	868.8	567	https://www.orthodb.org/?query=30884at4890	2-isopropylmalate synthase 2
33382at4890	Complete	SPAPB2B4.01c.1:335-979	220.8	191	https://www.orthodb.org/?query=33382at4890	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase
43191at4890	Duplicated	SPAC1B1.04c.1:892-2898	304.1	409	https://www.orthodb.org/?query=43191at4890	Pan3
43191at4890	Duplicated	SPBC336.14c.1:146-1825	308.6	408	https://www.orthodb.org/?query=43191at4890	Pan3
60994at4890	Missing
65719at4890	Complete	SPAC23C11.11.1:145-1107	542.8	305	https://www.orthodb.org/?query=65719at4890	kinase
68264at4890	Missing
75133at4890	Complete	SPBC725.15.1:44-682	269.0	204	https://www.orthodb.org/?query=75133at4890	orotate phosphoribosyltransferase
77539at4890	Complete	SPAC1851.02.1:129-896	235.2	167	https://www.orthodb.org/?query=77539at4890	1-acyl-Sn-glycerol-3-phosphate acyltransferase
83063at4890	Missing
83131at4890	Missing
88048at4890	Complete	SPCC970.06.1:351-1157	360.5	262	https://www.orthodb.org/?query=88048at4890	COPII-coated vesicle protein
107690at4890	Duplicated	SPCC1682.04.1:55-561	184.9	141	https://www.orthodb.org/?query=107690at4890	Cell division control protein
107690at4890	Duplicated	SPCC1682.05c.1:1939-2611	183.7	141	https://www.orthodb.org/?query=107690at4890	Cell division control protein
115127at4890	Missing
119995at4890	Complete	SPCC126.07c.1:497-2158	302.3	611	https://www.orthodb.org/?query=119995at4890	ring finger domain-containing protein
120526at4890	Complete	SPBC17G9.02c.1:176-1276	311.0	303	https://www.orthodb.org/?query=120526at4890	Cdc73
122689at4890	Missing
126298at4890	Complete	SPBC409.21.1:194-691	189.4	164	https://www.orthodb.org/?query=126298at4890	sec66
131304at4890	Complete	SPBC19C7.03.1:995-4909	1137.8	1221	https://www.orthodb.org/?query=131304at4890	adenyl cyclase
134552at4890	Complete	SPCC330.12c.1:272-736	164.2	130	https://www.orthodb.org/?query=134552at4890	Succinate dehydrogenase 
138306at4890	Missing
156166at4890	Missing
156445at4890	Complete	SPAC30.02c.1:74-907	368.4	305	https://www.orthodb.org/?query=156445at4890	Protein KTI12
165244at4890	Complete	SPCC825.04c.1:83-601	125.1	132	https://www.orthodb.org/?query=165244at4890	Acetyltransferase
166457at4890	Complete	SPAPJ698.03c.1:96-3695	1612.2	1178	https://www.orthodb.org/?query=166457at4890	pre-mRNA-splicing factor
167051at4890	Duplicated	SPAC630.03.1:71-1339	811.4	427	https://www.orthodb.org/?query=167051at4890	actin
167051at4890	Duplicated	SPAC630.04c.1:1300-2668	757.6	408	https://www.orthodb.org/?query=167051at4890	actin
168997at4890	Duplicated	SPAPB17E12.07c.1:172-1314	298.6	317	https://www.orthodb.org/?query=168997at4890	tRNA-splicing endonuclease subunit
168997at4890	Duplicated	SPAPB17E12.06.1:998-2187	296.3	317	https://www.orthodb.org/?query=168997at4890	tRNA-splicing endonuclease subunit
169217at4890	Fragmented	SPAC11E3.11c.1:1351-3129	305.6	406	https://www.orthodb.org/?query=169217at4890	Sec7
169327at4890	Missing
169361at4890	Missing
170399at4890	Complete	SPAC1A6.01c.1:1548-2900	344.4	480	https://www.orthodb.org/?query=170399at4890	Zinc finger C2HC5-type
172902at4890	Complete	SPAC4D7.08c.1:203-1774	809.7	512	https://www.orthodb.org/?query=172902at4890	amidophosphoribosyltransferase
173047at4890	Complete	SPCC18.06c.1:120-920	397.6	282	https://www.orthodb.org/?query=173047at4890	CCR4-NOT transcription complex subunit
195365at4890	Missing
200623at4890	Complete	SPAC19A8.14.1:131-700	172.1	114	https://www.orthodb.org/?query=200623at4890	Peptidyl-tRNA hydrolase
205092at4890	Complete	SPCC16C4.14c.1:235-3069	603.4	742	https://www.orthodb.org/?query=205092at4890	rna polymerase iii transcription factor tfiiic
210621at4890	Missing
211654at4890	Complete	SPBC1604.09c.1:204-788	255.8	165	https://www.orthodb.org/?query=211654at4890	exonuclease
216767at4890	Missing
238347at4890	Duplicated	SPBC11B10.02c.1:100-1239	568.8	397	https://www.orthodb.org/?query=238347at4890	histidinol-phosphate aminotransferase
238347at4890	Duplicated	SPBC11B10.01.1:1875-2980	523.4	365	https://www.orthodb.org/?query=238347at4890	histidinol-phosphate aminotransferase
249443at4890	Missing
297252at4890	Fragmented	SPAC21E11.04.1:272-778	214.6	165	https://www.orthodb.org/?query=297252at4890	acetyltransferase
344958at4890	Complete	SPBC30D10.05c.1:21-734	269.2	233	https://www.orthodb.org/?query=344958at4890	dehydrogenase
360014at4890	Missing
362570at4890	Complete	SPAC31A2.12.1:433-1887	256.9	219	https://www.orthodb.org/?query=362570at4890	Arrestin
388271at4890	Duplicated	SPBP22H7.08.1:53-484	223.0	149	https://www.orthodb.org/?query=388271at4890	40S ribosomal protein
388271at4890	Duplicated	SPAC31G5.17c.1:71-499	220.9	149	https://www.orthodb.org/?query=388271at4890	40S ribosomal protein
391622at4890	Duplicated	SPAC1071.11.1:1626-2069	193.2	143	https://www.orthodb.org/?query=391622at4890	phosphatase
391622at4890	Duplicated	SPAC1071.12c.1:267-710	193.2	143	https://www.orthodb.org/?query=391622at4890	phosphatase
393365at4890	Complete	SPBC947.14c.1:171-467	78.7	98	https://www.orthodb.org/?query=393365at4890	cytochrome b pre-mrna-processing
398464at4890	Complete	SPBC725.02.1:1138-1542	147.7	122	https://www.orthodb.org/?query=398464at4890	Ypd1 protein
402044at4890	Complete	SPAC22A12.08c.1:1056-1752	227.6	162	https://www.orthodb.org/?query=402044at4890	cdp-alcohol phosphatidyltransferase
402119at4890	Complete	SPAC1142.07c.1:264-821	206.4	173	https://www.orthodb.org/?query=402119at4890	Vacuolar-sorting protein
406404at4890	Duplicated	SPAC1F12.05.1:604-1704	308.3	321	https://www.orthodb.org/?query=406404at4890	arrestin
406404at4890	Duplicated	SPAC1F12.06c.1:1401-2501	308.3	321	https://www.orthodb.org/?query=406404at4890	arrestin
406404at4890	Duplicated	SPBC18H10.20c.1:896-1933	266.1	321	https://www.orthodb.org/?query=406404at4890	arrestin
406461at4890	Fragmented	SPAC1002.14.1:260-1477	346.7	408	https://www.orthodb.org/?query=406461at4890	ubiquitin-protein ligase E3
408598at4890	Complete	SPBC1861.01c.1:915-2777	95.8	155	https://www.orthodb.org/?query=408598at4890	Cupin
425377at4890	Complete	SPAP27G11.07c.1:168-809	237.0	193	https://www.orthodb.org/?query=425377at4890	kinase
430560at4890	Duplicated	SPBC354.12.1:131-1129	515.3	288	https://www.orthodb.org/?query=430560at4890	glyceraldehyd-3-phosphate dehydrogenase
