# BUSCO version is: 6.0.0 
# The lineage dataset is: ascomycota_odb12 (Creation date: 2025-07-01, number of genomes: 105, number of BUSCOs: 2826)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
555at4890	Complete	YML046W_mRNA:0-1886	193.9	410	https://www.orthodb.org/?query=555at4890	pre-mRNA-processing factor 39
2803at4890	Complete	YBR281C_mRNA:0-2633	827.0	786	https://www.orthodb.org/?query=2803at4890	Dug2
3665at4890	Complete	YBR023C_mRNA:0-3494	1611.1	1013	https://www.orthodb.org/?query=3665at4890	chitin synthase
5127at4890	Missing
6183at4890	Missing
7669at4890	Complete	YNL261W_mRNA:0-1436	218.8	367	https://www.orthodb.org/?query=7669at4890	origin recognition complex subunit
8989at4890	Duplicated	YKR035C_mRNA:11-622	199.9	177	https://www.orthodb.org/?query=8989at4890	Vacuolar protein
8989at4890	Duplicated	YKR035W-A_mRNA:0-611	199.9	177	https://www.orthodb.org/?query=8989at4890	Vacuolar protein
9087at4890	Complete	YMR236W_mRNA:0-470	151.8	115	https://www.orthodb.org/?query=9087at4890	transcription initiation factor
9465at4890	Missing
9477at4890	Complete	YEL043W_mRNA:0-2867	184.2	401	https://www.orthodb.org/?query=9477at4890	Fibronectin, type III domain-containing protein
9735at4890	Missing
10383at4890	Complete	YMR005W_mRNA:0-1163	68.9	96	https://www.orthodb.org/?query=10383at4890	transcription initiation factor TFIID component TAF4
10778at4890	Complete	YGR002C_mRNA:0-1427	259.7	402	https://www.orthodb.org/?query=10778at4890	SWR1-complex protein
11174at4890	Missing
11335at4890	Complete	YML105C_mRNA:0-818	207.8	216	https://www.orthodb.org/?query=11335at4890	Signal recognition particle
12616at4890	Missing
13187at4890	Complete	YPL138C_mRNA:0-1058	138.1	204	https://www.orthodb.org/?query=13187at4890	Zinc finger PHD-type
14054at4890	Missing
30568at4890	Complete	YCR008W_mRNA:0-1808	535.4	341	https://www.orthodb.org/?query=30568at4890	kinase
30884at4890	Duplicated	YNL104C_mRNA:0-1856	902.1	573	https://www.orthodb.org/?query=30884at4890	2-isopropylmalate synthase 2
30884at4890	Duplicated	YOR108W_mRNA:0-1811	892.1	573	https://www.orthodb.org/?query=30884at4890	2-isopropylmalate synthase 2
33382at4890	Missing
43191at4890	Complete	YKL025C_mRNA:0-1970	371.1	398	https://www.orthodb.org/?query=43191at4890	Pan3
60994at4890	Missing
65719at4890	Missing
68264at4890	Missing
75133at4890	Duplicated	YML106W_mRNA:9-671	266.4	204	https://www.orthodb.org/?query=75133at4890	orotate phosphoribosyltransferase
75133at4890	Duplicated	YMR271C_mRNA:0-680	259.9	203	https://www.orthodb.org/?query=75133at4890	orotate phosphoribosyltransferase
77539at4890	Complete	YDL052C_mRNA:0-908	247.5	175	https://www.orthodb.org/?query=77539at4890	1-acyl-Sn-glycerol-3-phosphate acyltransferase
83063at4890	Missing
83131at4890	Missing
88048at4890	Complete	YGR284C_mRNA:0-929	330.3	272	https://www.orthodb.org/?query=88048at4890	COPII-coated vesicle protein
107690at4890	Complete	YOR257W_mRNA:18-482	193.4	141	https://www.orthodb.org/?query=107690at4890	Cell division control protein
115127at4890	Missing
119995at4890	Missing
120526at4890	Complete	YLR418C_mRNA:0-1178	263.8	283	https://www.orthodb.org/?query=120526at4890	Cdc73
122689at4890	Missing
126298at4890	Complete	YBR171W_mRNA:0-617	182.9	169	https://www.orthodb.org/?query=126298at4890	sec66
131304at4890	Complete	YJL005W_mRNA:0-6074	1482.6	1311	https://www.orthodb.org/?query=131304at4890	adenyl cyclase
134552at4890	Duplicated	YMR118C_mRNA:0-587	132.7	129	https://www.orthodb.org/?query=134552at4890	Succinate dehydrogenase 
134552at4890	Duplicated	YKL141W_mRNA:0-593	115.8	129	https://www.orthodb.org/?query=134552at4890	Succinate dehydrogenase 
138306at4890	Missing
156166at4890	Missing
156445at4890	Complete	YKL110C_mRNA:0-938	305.1	304	https://www.orthodb.org/?query=156445at4890	Protein KTI12
165244at4890	Complete	YMR069W_mRNA:9-851	87.0	129	https://www.orthodb.org/?query=165244at4890	Acetyltransferase
166457at4890	Complete	YML049C_mRNA:150-4082	856.7	1179	https://www.orthodb.org/?query=166457at4890	pre-mRNA-splicing factor
167051at4890	Complete	YJR065C_mRNA:0-1346	802.9	426	https://www.orthodb.org/?query=167051at4890	actin
168997at4890	Complete	YLR105C_mRNA:0-1130	276.5	315	https://www.orthodb.org/?query=168997at4890	tRNA-splicing endonuclease subunit
169217at4890	Complete	YBL060W_mRNA:0-2060	272.9	524	https://www.orthodb.org/?query=169217at4890	Sec7
169327at4890	Missing
169361at4890	Missing
170399at4890	Complete	YKR023W_mRNA:0-1589	251.8	468	https://www.orthodb.org/?query=170399at4890	Zinc finger C2HC5-type
172902at4890	Complete	YMR300C_mRNA:0-1529	818.7	507	https://www.orthodb.org/?query=172902at4890	amidophosphoribosyltransferase
173047at4890	Complete	YNR052C_mRNA:0-1298	316.3	295	https://www.orthodb.org/?query=173047at4890	CCR4-NOT transcription complex subunit
195365at4890	Duplicated	YIR031C_mRNA:0-1661	906.5	519	https://www.orthodb.org/?query=195365at4890	malate synthase
195365at4890	Duplicated	YNL117W_mRNA:0-1661	885.1	518	https://www.orthodb.org/?query=195365at4890	malate synthase
200623at4890	Complete	YBL057C_mRNA:18-623	145.5	115	https://www.orthodb.org/?query=200623at4890	Peptidyl-tRNA hydrolase
205092at4890	Complete	YGR047C_mRNA:0-3074	592.4	753	https://www.orthodb.org/?query=205092at4890	rna polymerase iii transcription factor tfiiic
210621at4890	Missing
211654at4890	Complete	YOL080C_mRNA:0-866	249.3	172	https://www.orthodb.org/?query=211654at4890	exonuclease
216767at4890	Missing
238347at4890	Missing
249443at4890	Missing
297252at4890	Complete	YJL127C_mRNA:0-1919	365.4	337	https://www.orthodb.org/?query=297252at4890	acetyltransferase
344958at4890	Duplicated	YIR035C_mRNA:0-761	262.8	234	https://www.orthodb.org/?query=344958at4890	dehydrogenase
344958at4890	Duplicated	YIR036C_mRNA:0-788	245.1	234	https://www.orthodb.org/?query=344958at4890	dehydrogenase
360014at4890	Missing
362570at4890	Complete	YOR018W_mRNA:6-2510	239.3	236	https://www.orthodb.org/?query=362570at4890	Arrestin
388271at4890	Fragmented	YOR293W_mRNA:0-314	188.1	103	https://www.orthodb.org/?query=388271at4890	40S ribosomal protein
391622at4890	Complete	YPR073C_mRNA:0-482	181.2	147	https://www.orthodb.org/?query=391622at4890	phosphatase
393365at4890	Complete	YBR120C_mRNA:0-485	81.3	104	https://www.orthodb.org/?query=393365at4890	cytochrome b pre-mrna-processing
398464at4890	Missing
402044at4890	Complete	YDL142C_mRNA:9-848	208.1	198	https://www.orthodb.org/?query=402044at4890	cdp-alcohol phosphatidyltransferase
402119at4890	Complete	YLR025W_mRNA:0-719	185.1	186	https://www.orthodb.org/?query=402119at4890	Vacuolar-sorting protein
406404at4890	Complete	YOR322C_mRNA:0-2453	263.0	320	https://www.orthodb.org/?query=406404at4890	arrestin
406461at4890	Complete	YML068W_mRNA:0-1391	214.8	436	https://www.orthodb.org/?query=406461at4890	ubiquitin-protein ligase E3
408598at4890	Complete	YKL089W_mRNA:0-1646	87.6	155	https://www.orthodb.org/?query=408598at4890	Cupin
425377at4890	Missing
430560at4890	Duplicated	YGR192C_mRNA:0-995	502.0	286	https://www.orthodb.org/?query=430560at4890	glyceraldehyd-3-phosphate dehydrogenase
430560at4890	Duplicated	YJR009C_mRNA:0-995	499.3	286	https://www.orthodb.org/?query=430560at4890	glyceraldehyd-3-phosphate dehydrogenase
430560at4890	Duplicated	YJL052W_mRNA:0-995	494.2	286	https://www.orthodb.org/?query=430560at4890	glyceraldehyd-3-phosphate dehydrogenase
434900at4890	Missing
435697at4890	Missing
439377at4890	Complete	YJR110W_mRNA:0-2063	515.7	426	https://www.orthodb.org/?query=439377at4890	phosphatase
439485at4890	Missing
443285at4890	Complete	YPR189W_mRNA:0-4295	1052.1	1294	https://www.orthodb.org/?query=443285at4890	Ski3
458308at4890	Missing
462854at4890	Complete	YOR201C_mRNA:0-1235	237.1	287	https://www.orthodb.org/?query=462854at4890	rRNA methyltransferase
466148at4890	Missing
469071at4890	Missing
471955at4890	Missing
474374at4890	Complete	YIL144W_mRNA:0-2069	472.1	668	https://www.orthodb.org/?query=474374at4890	kinetochore protein
476734at4890	Complete	YCR093W_mRNA:0-6323	1180.4	1442	https://www.orthodb.org/?query=476734at4890	CCR4-NOT transcription complex subunit
